player_hands,dealer_faceup,useACE,winPro_stay,winPro_hit,winPro_doubledown,winPro_split
8,2,FALSE,0,0.374324324,0.444987775,0.471910112
8,3,TRUE,0,0.511111111,0,0
8,3,FALSE,0,0.412256267,0.431372549,0.291666667
8,4,TRUE,0,0.520833333,0,0
8,4,FALSE,0,0.386039886,0.46628131,0.361702128
8,5,TRUE,0,0.534883721,0,0
8,5,FALSE,0,0.457242583,0.502521008,0.408163265
8,6,TRUE,0,0.586206897,0,0
8,6,FALSE,0,0.482614743,0.471655329,0.37
8,7,TRUE,0,0.64516129,0,0
8,7,FALSE,0,0.428229665,0.403899721,0.345588235
8,8,TRUE,0,0.25,0,0
8,8,FALSE,0,0.3391494,0.319277108,0.318965517
8,9,TRUE,0,0.424242424,0,0
8,9,FALSE,0,0.308536585,0.342618384,0.267241379
8,10,TRUE,0,0.251968504,0,0
8,10,FALSE,0,0.299683635,0.26753507,0.226256983
9,1,TRUE,0,0.458333333,0,0
9,1,FALSE,0,0.338308458,0.347972973,0
9,2,TRUE,0,0.611111111,0,0
9,2,FALSE,0,0.429796356,0.497737557,0
9,3,TRUE,0,0.545454545,0,0
9,3,FALSE,0,0.461538462,0.493693694,0
9,4,TRUE,0,0.511627907,0,0
9,4,FALSE,0,0.446540881,0.511564626,0
9,5,TRUE,0,0.580645161,0,0
9,5,FALSE,0,0.481338481,0.541223404,0
9,6,TRUE,0,0.552631579,0,0
9,6,FALSE,0,0.494809689,0.55037594,0
9,7,TRUE,0,0.393939394,0,0
9,7,FALSE,0,0.456765005,0.478504673,0
9,8,TRUE,0,0.555555556,0,0
9,8,FALSE,0,0.415327565,0.484605087,0
9,9,TRUE,0,0.317073171,0,0
9,9,FALSE,0,0.35940246,0.345211581,0
9,10,TRUE,0,0.351351351,0,0
9,10,FALSE,0,0.329377573,0.358490566,0
10,1,TRUE,0,0.310344828,0,0
10,1,FALSE,0,0.413043478,0.443155452,0.25
10,2,TRUE,0,0.604651163,0,0
10,2,FALSE,0,0.464632455,0.545731707,0.3875
10,3,TRUE,0,0.644444444,0,0
10,3,FALSE,0,0.483080513,0.559322034,0.4375
10,4,TRUE,0,0.555555556,0,0
10,4,FALSE,0,0.508027523,0.570786517,0.402173913
10,5,TRUE,0,0.571428571,0,0
10,5,FALSE,0,0.478723404,0.594117647,0.378787879
