d_show,p_hand,p_1c,p_2c,p_2c_h,p_3c,p_3c_h,p_4c,p_4c_h,p_5c,p_5c_h,p_6c,p_6c_h,p_7c,p_7c_h,p_final_hand,d_final,d_hit,d_bust,p_initial,p_final,p_bust,p_win
10,"6,3",6,3,0,,0,,0,,0,,0,,0,"6,3",21,0,0,9,9,0,0
5,"K,A",K,A,0,,0,,0,,0,,0,,0,"K,A",10,0,0,21,21,0,1
4,"5,9",5,9,1,8,0,,0,,0,,0,,0,"5,9,8",14,0,0,14,22,1,0
5,"9,K",9,K,0,,0,,0,,0,,0,,0,"9,K",25,1,1,19,19,0,1
3,"Q,2",Q,2,1,J,0,,0,,0,,0,,0,"Q,2,J",13,0,0,12,22,1,0
K,"2,K",2,K,0,,0,,0,,0,,0,,0,"2,K",20,1,0,12,12,0,0
2,"3,10",3,10,1,8,0,,0,,0,,0,,0,"3,10,8",19,1,0,13,21,0,1
7,"Q,5",Q,5,0,,0,,0,,0,,0,,0,"Q,5",19,1,0,15,15,0,0
9,"6,K",6,K,0,,0,,0,,0,,0,,0,"6,K",20,1,0,16,16,0,0
Q,"10,4",10,4,0,,0,,0,,0,,0,,0,"10,4",20,0,0,14,14,0,0
7,"10,K",10,K,0,,0,,0,,0,,0,,0,"10,K",26,1,1,20,20,0,1
2,"9,4",9,4,1,K,0,,0,,0,,0,,0,"9,4,K",12,0,0,13,23,1,0
A,"8,J",8,J,1,A,0,,0,,0,,0,,0,"8,J,A",17,0,0,18,19,0,1
A,"6,4",6,4,1,4,1,6,0,,0,,0,,0,"6,4,4,6",20,0,0,10,20,0,0
9,"9,6",9,6,1,K,0,,0,,0,,0,,0,"9,6,K",11,0,0,15,25,1,0
3,"7,10",7,10,1,2,0,,0,,0,,0,,0,"7,10,2",22,1,1,17,19,0,1
2,"4,9",4,9,0,,0,,0,,0,,0,,0,"4,9",24,1,1,13,13,0,1
9,"5,2",5,2,1,5,0,,0,,0,,0,,0,"5,2,5",22,1,1,7,12,0,1
10,"9,2",9,2,1,7,0,,0,,0,,0,,0,"9,2,7",20,0,0,11,18,0,0
5,"J,A",J,A,0,,0,,0,,0,,0,,0,"J,A",7,0,0,21,21,0,1
3,"7,K",7,K,0,,0,,0,,0,,0,,0,"7,K",19,1,0,17,17,0,0
10,"4,5",4,5,1,6,0,,0,,0,,0,,0,"4,5,6",17,1,0,9,15,0,0
4,"2,J",2,J,1,8,0,,0,,0,,0,,0,"2,J,8",20,1,0,12,20,0,0
Q,"Q,5",Q,5,1,4,0,,0,,0,,0,,0,"Q,5,4",20,0,0,15,19,0,0
9,"2,4",2,4,1,K,0,,0,,0,,0,,0,"2,4,K",21,1,0,6,16,0,0
A,"5,5",5,5,1,Q,0,,0,,0,,0,,0,"5,5,Q",20,0,0,10,20,0,0
Q,"K,7",K,7,0,,0,,0,,0,,0,,0,"K,7",17,1,0,17,17,0,0
5,"4,8",4,8,0,,0,,0,,0,,0,,0,"4,8",19,1,0,12,12,0,0
7,"10,9",10,9,0,,0,,0,,0,,0,,0,"10,9",17,0,0,19,19,0,1
7,"9,K",9,K,0,,0,,0,,0,,0,,0,"9,K",19,1,0,19,19,0,0
2,"5,Q",5,Q,1,5,0,,0,,0,,0,,0,"5,Q,5",17,1,0,15,20,0,1
Q,"7,10",7,10,0,,0,,0,,0,,0,,0,"7,10",20,0,0,17,17,0,0
10,"8,K",8,K,1,K,0,,0,,0,,0,,0,"8,K,K",14,0,0,18,28,1,0
Q,"J,5",J,5,1,8,0,,0,,0,,0,,0,"J,5,8",12,0,0,15,23,1,0
7,"K,3",K,3,0,,0,,0,,0,,0,,0,"K,3",22,1,1,13,13,0,1
10,"2,9",2,9,1,J,0,,0,,0,,0,,0,"2,9,J",18,0,0,11,21,0,1
2,"A,3",A,3,1,9,1,10,0,,0,,0,,0,"A,3,9,10",10,0,0,14,23,1,0
8,"J,9",J,9,0,,0,,0,,0,,0,,0,"J,9",19,1,0,19,19,0,0
A,"2,9",2,9,0,,0,,0,,0,,0,,0,"2,9",21,0,0,11,11,0,0
10,"6,2",6,2,1,A,0,,0,,0,,0,,0,"6,2,A",20,0,0,8,19,0,0
5,"2,2",2,2,1,10,0,,0,,0,,0,,0,"2,2,10",19,1,0,4,14,0,0
Q,"10,9",10,9,0,,0,,0,,0,,0,,0,"10,9",18,0,0,19,19,0,1
4,"6,3",6,3,1,3,1,J,0,,0,,0,,0,"6,3,3,J",14,0,0,9,22,1,0
6,"9,7",9,7,0,,0,,0,,0,,0,,0,"9,7",21,1,0,16,16,0,0
K,"5,6",5,6,1,8,0,,0,,0,,0,,0,"5,6,8",19,0,0,11,19,0,0
J,"3,A",3,A,0,,0,,0,,0,,0,,0,"3,A",18,0,0,14,14,0,0
8,"J,5",J,5,1,9,0,,0,,0,,0,,0,"J,5,9",17,0,0,15,24,1,0
2,"8,K",8,K,0,,0,,0,,0,,0,,0,"8,K",17,1,0,18,18,0,1
6,"4,9",4,9,0,,0,,0,,0,,0,,0,"4,9",17,1,0,13,13,0,0
K,"Q,Q",Q,Q,0,,0,,0,,0,,0,,0,"Q,Q",20,1,0,20,20,0,0
5,"7,2",7,2,1,K,0,,0,,0,,0,,0,"7,2,K",17,1,0,9,19,0,1
9,"4,2",4,2,1,5,1,6,0,,0,,0,,0,"4,2,5,6",20,1,0,6,17,0,0
J,"9,5",9,5,1,4,0,,0,,0,,0,,0,"9,5,4",19,0,0,14,18,0,0
3,"8,2",8,2,1,5,1,K,0,,0,,0,,0,"8,2,5,K",10,0,0,10,25,1,0
A,"A,A",A,A,0,,0,,0,,0,,0,,0,"A,A",17,1,0,12,12,0,0
9,"6,Q",6,Q,1,K,0,,0,,0,,0,,0,"6,Q,K",17,0,0,16,26,1,0
4,"5,3",5,3,1,5,1,7,0,,0,,0,,0,"5,3,5,7",18,1,0,8,20,0,1
K,"3,7",3,7,1,6,0,,0,,0,,0,,0,"3,7,6",20,0,0,10,16,0,0
J,"4,7",4,7,0,,0,,0,,0,,0,,0,"4,7",21,0,0,11,11,0,0
8,"3,9",3,9,0,,0,,0,,0,,0,,0,"3,9",24,1,1,12,12,0,1
10,"Q,9",Q,9,0,,0,,0,,0,,0,,0,"Q,9",20,0,0,19,19,0,0
Q,"9,2",9,2,1,2,0,,0,,0,,0,,0,"9,2,2",26,1,1,11,13,0,1
5,"2,4",2,4,1,A,1,2,0,,0,,0,,0,"2,4,A,2",20,1,0,6,19,0,0
6,"8,2",8,2,1,6,0,,0,,0,,0,,0,"8,2,6",26,1,1,10,16,0,1
5,"A,10",A,10,0,,0,,0,,0,,0,,0,"A,10",9,0,0,21,21,0,1
2,"A,8",A,8,0,,0,,0,,0,,0,,0,"A,8",18,1,0,19,19,0,1
K,"7,Q",7,Q,1,10,0,,0,,0,,0,,0,"7,Q,10",20,0,0,17,27,1,0
4,"10,7",10,7,0,,0,,0,,0,,0,,0,"10,7",21,1,0,17,17,0,0
3,"2,7",2,7,1,8,0,,0,,0,,0,,0,"2,7,8",20,1,0,9,17,0,0
Q,"3,8",3,8,1,Q,0,,0,,0,,0,,0,"3,8,Q",25,1,1,11,21,0,1
9,"5,K",5,K,0,,0,,0,,0,,0,,0,"5,K",19,0,0,15,15,0,0
7,"4,A",4,A,0,Q,0,,0,,0,,0,,0,"4,A,Q",17,0,0,15,15,0,0
5,"7,4",7,4,1,10,0,,0,,0,,0,,0,"7,4,10",25,1,1,11,21,0,1
K,"4,10",4,10,0,,0,,0,,0,,0,,0,"4,10",21,1,0,14,14,0,0
3,"J,5",J,5,1,4,0,,0,,0,,0,,0,"J,5,4",23,1,1,15,19,0,1
2,"4,9",4,9,0,,0,,0,,0,,0,,0,"4,9",18,1,0,13,13,0,0
Q,"3,Q",3,Q,1,10,0,,0,,0,,0,,0,"3,Q,10",17,0,0,13,23,1,0
6,"J,3",J,3,0,,0,,0,,0,,0,,0,"J,3",21,1,0,13,13,0,0
9,"3,7",3,7,1,3,1,5,0,,0,,0,,0,"3,7,3,5",19,0,0,10,18,0,0
J,"7,Q",7,Q,0,,0,,0,,0,,0,,0,"7,Q",17,0,0,17,17,0,0
10,"2,K",2,K,1,6,0,,0,,0,,0,,0,"2,K,6",17,0,0,12,18,0,1
6,"K,2",K,2,1,6,1,8,0,,0,,0,,0,"K,2,6,8",11,0,0,12,26,1,0
K,"2,6",2,6,1,4,1,5,0,,0,,0,,0,"2,6,4,5",24,1,1,8,17,0,1
2,"2,5",2,5,1,10,1,3,0,,0,,0,,0,"2,5,10,3",24,1,1,7,20,0,1
K,"4,3",4,3,1,6,1,K,0,,0,,0,,0,"4,3,6,K",20,0,0,7,23,1,0
10,"7,3",7,3,0,,0,,0,,0,,0,,0,"7,3",21,0,0,10,10,0,0
10,"A,2",A,2,0,,0,,0,,0,,0,,0,"A,2",26,1,1,13,13,0,1
J,"A,J",A,J,0,,0,,0,,0,,0,,0,"A,J",17,0,0,21,21,0,1
K,"K,4",K,4,1,9,0,,0,,0,,0,,0,"K,4,9",20,0,0,14,23,1,0
2,"2,5",2,5,1,10,0,,0,,0,,0,,0,"2,5,10",22,1,1,7,17,0,1
J,"5,3",5,3,1,5,1,J,0,,0,,0,,0,"5,3,5,J",20,0,0,8,23,1,0
A,"Q,7",Q,7,0,,0,,0,,0,,0,,0,"Q,7",18,0,0,17,17,0,0
A,"Q,6",Q,6,1,8,0,,0,,0,,0,,0,"Q,6,8",18,0,0,16,24,1,0
J,"3,8",3,8,1,Q,0,,0,,0,,0,,0,"3,8,Q",20,0,0,11,21,0,1
4,"2,J",2,J,0,,0,,0,,0,,0,,0,"2,J",23,1,1,12,12,0,1
A,"J,Q",J,Q,0,,0,,0,,0,,0,,0,"J,Q",21,0,0,20,20,0,0
J,"J,Q",J,Q,0,,0,,0,,0,,0,,0,"J,Q",19,1,0,20,20,0,1
10,"A,8",A,8,0,,0,,0,,0,,0,,0,"A,8",26,1,1,19,19,0,1
J,"2,5",2,5,1,8,1,Q,0,,0,,0,,0,"2,5,8,Q",20,0,0,7,25,1,0
K,"7,Q",7,Q,1,J,0,,0,,0,,0,,0,"7,Q,J",12,0,0,17,27,1,0
4,"J,J",J,J,0,,0,,0,,0,,0,,0,"J,J",26,1,1,20,20,0,1
K,"Q,2",Q,2,0,,0,,0,,0,,0,,0,"Q,2",21,1,0,12,12,0,0
A,"8,K",8,K,0,,0,,0,,0,,0,,0,"8,K",21,0,0,18,18,0,0
4,"4,J",4,J,1,3,0,,0,,0,,0,,0,"4,J,3",17,1,0,14,17,0,0
J,"10,J",10,J,0,,0,,0,,0,,0,,0,"10,J",26,1,1,20,20,0,1
5,"Q,10",Q,10,0,,0,,0,,0,,0,,0,"Q,10",21,1,0,20,20,0,0
8,"5,J",5,J,1,8,0,,0,,0,,0,,0,"5,J,8",11,0,0,15,23,1,0
8,"2,3",2,3,1,Q,0,,0,,0,,0,,0,"2,3,Q",20,1,0,5,15,0,0
5,"9,A",9,A,0,,0,,0,,0,,0,,0,"9,A",18,1,0,20,20,0,1
10,"2,2",2,2,1,A,0,,0,,0,,0,,0,"2,2,A",22,1,1,4,15,0,1
9,"7,5",7,5,1,3,1,9,0,,0,,0,,0,"7,5,3,9",18,0,0,12,24,1,0
6,"K,J",K,J,0,,0,,0,,0,,0,,0,"K,J",20,1,0,20,20,0,0
K,"10,7",10,7,0,,0,,0,,0,,0,,0,"10,7",19,0,0,17,17,0,0
7,"7,9",7,9,0,,0,,0,,0,,0,,0,"7,9",18,0,0,16,16,0,0
A,"4,Q",4,Q,0,,0,,0,,0,,0,,0,"4,Q",21,0,0,14,14,0,0
9,"7,8",7,8,0,,0,,0,,0,,0,,0,"7,8",24,1,1,15,15,0,1
Q,"7,10",7,10,1,5,0,,0,,0,,0,,0,"7,10,5",12,0,0,17,22,1,0
Q,"2,2",2,2,1,A,1,6,0,,0,,0,,0,"2,2,A,6",20,0,0,4,21,0,1
K,"6,8",6,8,0,,0,,0,,0,,0,,0,"6,8",21,0,0,14,14,0,0
8,"8,10",8,10,0,,0,,0,,0,,0,,0,"8,10",17,1,0,18,18,0,1
2,"10,K",10,K,0,,0,,0,,0,,0,,0,"10,K",23,1,1,20,20,0,1
J,"2,5",2,5,1,4,1,8,0,,0,,0,,0,"2,5,4,8",17,0,0,7,19,0,1
7,"K,9",K,9,0,,0,,0,,0,,0,,0,"K,9",17,0,0,19,19,0,1
3,"Q,A",Q,A,0,,0,,0,,0,,0,,0,"Q,A",7,0,0,21,21,0,1
9,"8,10",8,10,1,J,0,,0,,0,,0,,0,"8,10,J",12,0,0,18,28,1,0
9,"3,7",3,7,1,8,0,,0,,0,,0,,0,"3,7,8",23,1,1,10,18,0,1
K,"8,4",8,4,0,,0,,0,,0,,0,,0,"8,4",20,0,0,12,12,0,0
6,"4,3",4,3,1,2,1,J,0,,0,,0,,0,"4,3,2,J",24,1,1,7,19,0,1
5,"5,3",5,3,1,5,1,7,0,,0,,0,,0,"5,3,5,7",23,1,1,8,20,0,1
Q,"A,4",A,4,1,2,0,,0,,0,,0,,0,"A,4,2",19,0,0,15,17,0,0
8,"10,9",10,9,0,,0,,0,,0,,0,,0,"10,9",22,1,1,19,19,0,1
7,"5,9",5,9,1,6,0,,0,,0,,0,,0,"5,9,6",17,0,0,14,20,0,1
6,"K,5",K,5,0,,0,,0,,0,,0,,0,"K,5",17,0,0,15,15,0,0
2,"9,Q",9,Q,0,,0,,0,,0,,0,,0,"9,Q",19,1,0,19,19,0,0
5,"5,A",5,A,1,K,1,2,0,,0,,0,,0,"5,A,K,2",18,1,0,16,18,0,0
8,"Q,9",Q,9,0,,0,,0,,0,,0,,0,"Q,9",25,1,1,19,19,0,1
10,"6,5",6,5,1,K,0,,0,,0,,0,,0,"6,5,K",19,0,0,11,21,0,1
6,"8,6",8,6,0,,0,,0,,0,,0,,0,"8,6",17,0,0,14,14,0,0
6,"8,3",8,3,1,5,0,,0,,0,,0,,0,"8,3,5",17,0,0,11,16,0,0
A,"3,10",3,10,1,10,0,,0,,0,,0,,0,"3,10,10",20,0,0,13,23,1,0
6,"6,K",6,K,1,J,0,,0,,0,,0,,0,"6,K,J",16,0,0,16,26,1,0
5,"2,4",2,4,1,J,0,,0,,0,,0,,0,"2,4,J",20,1,0,6,16,0,0
2,"A,Q",A,Q,0,,0,,0,,0,,0,,0,"A,Q",12,0,0,21,21,0,1
10,"A,6",A,6,0,,0,,0,,0,,0,,0,"A,6",20,1,0,17,17,0,0
Q,"7,A",7,A,0,,0,,0,,0,,0,,0,"7,A",20,0,0,18,18,0,0
Q,"7,7",7,7,0,,0,,0,,0,,0,,0,"7,7",20,0,0,14,14,0,0
9,"9,5",9,5,0,,0,,0,,0,,0,,0,"9,5",18,1,0,14,14,0,0
10,"J,A",J,A,0,,0,,0,,0,,0,,0,"J,A",15,0,0,21,21,0,1
K,"6,7",6,7,1,Q,0,,0,,0,,0,,0,"6,7,Q",20,0,0,13,23,1,0
5,"6,4",6,4,1,A,0,,0,,0,,0,,0,"6,4,A",23,1,1,10,21,0,1
J,"A,A",A,A,0,,0,,0,,0,,0,,0,"A,A",18,1,0,12,12,0,0
7,"8,Q",8,Q,0,,0,,0,,0,,0,,0,"8,Q",19,1,0,18,18,0,0
K,"J,6",J,6,1,3,0,,0,,0,,0,,0,"J,6,3",17,0,0,16,19,0,1
4,"A,6",A,6,0,,0,,0,,0,,0,,0,"A,6",22,1,1,17,17,0,1
10,"10,4",10,4,1,7,0,,0,,0,,0,,0,"10,4,7",20,0,0,14,21,0,1
6,"6,10",6,10,0,,0,,0,,0,,0,,0,"6,10",19,1,0,16,16,0,0
Q,"7,8",7,8,0,,0,,0,,0,,0,,0,"7,8",22,1,1,15,15,0,1
7,"10,2",10,2,0,,0,,0,,0,,0,,0,"10,2",18,0,0,12,12,0,0
K,"5,7",5,7,1,7,0,,0,,0,,0,,0,"5,7,7",20,0,0,12,19,0,0
K,"9,5",9,5,0,,0,,0,,0,,0,,0,"9,5",23,1,1,14,14,0,1
8,"6,9",6,9,0,,0,,0,,0,,0,,0,"6,9",21,1,0,15,15,0,0
8,"7,A",7,A,0,6,0,,0,,0,,0,,0,"7,A,6",18,0,0,18,14,0,0
Q,"2,K",2,K,1,Q,0,,0,,0,,0,,0,"2,K,Q",20,0,0,12,22,1,0
7,"J,7",J,7,1,K,0,,0,,0,,0,,0,"J,7,K",16,0,0,17,27,1,0
2,"8,4",8,4,0,,0,,0,,0,,0,,0,"8,4",23,1,1,12,12,0,1
9,"K,2",K,2,1,7,0,,0,,0,,0,,0,"K,2,7",19,0,0,12,19,0,0
J,"A,9",A,9,0,,0,,0,,0,,0,,0,"A,9",20,0,0,20,20,0,0
4,"3,8",3,8,1,2,0,,0,,0,,0,,0,"3,8,2",17,1,0,11,13,0,0
5,"Q,A",Q,A,0,,0,,0,,0,,0,,0,"Q,A",15,0,0,21,21,0,1
9,"2,A",2,A,0,J,0,,0,,0,,0,,0,"2,A,J",19,0,0,13,13,0,0
2,"9,6",9,6,1,A,1,A,0,,0,,0,,0,"9,6,A,A",21,1,0,15,17,0,0
5,"3,9",3,9,1,6,0,,0,,0,,0,,0,"3,9,6",25,1,1,12,18,0,1
8,"J,6",J,6,1,10,0,,0,,0,,0,,0,"J,6,10",15,0,0,16,26,1,0
Q,"9,10",9,10,0,,0,,0,,0,,0,,0,"9,10",19,0,0,19,19,0,0
8,"4,J",4,J,1,K,0,,0,,0,,0,,0,"4,J,K",18,0,0,14,24,1,0
5,"J,A",J,A,0,,0,,0,,0,,0,,0,"J,A",11,0,0,21,21,0,1
6,"7,J",7,J,1,A,0,,0,,0,,0,,0,"7,J,A",22,1,1,17,18,0,1
8,"J,4",J,4,0,,0,,0,,0,,0,,0,"J,4",18,0,0,14,14,0,0
K,"Q,8",Q,8,1,3,0,,0,,0,,0,,0,"Q,8,3",25,1,1,18,21,0,1
Q,"Q,K",Q,K,0,,0,,0,,0,,0,,0,"Q,K",19,0,0,20,20,0,1
6,"J,4",J,4,0,,0,,0,,0,,0,,0,"J,4",18,1,0,14,14,0,0
9,"J,10",J,10,0,,0,,0,,0,,0,,0,"J,10",17,1,0,20,20,0,1
K,"10,9",10,9,0,,0,,0,,0,,0,,0,"10,9",21,0,0,19,19,0,0
K,"6,7",6,7,0,,0,,0,,0,,0,,0,"6,7",21,1,0,13,13,0,0
4,"Q,A",Q,A,0,,0,,0,,0,,0,,0,"Q,A",14,0,0,21,21,0,1
J,"5,4",5,4,1,9,0,,0,,0,,0,,0,"5,4,9",20,0,0,9,18,0,0
4,"8,5",8,5,0,,0,,0,,0,,0,,0,"8,5",21,1,0,13,13,0,0
K,"A,9",A,9,0,,0,,0,,0,,0,,0,"A,9",20,0,0,20,20,0,0
J,"7,8",7,8,1,A,1,A,0,,0,,0,,0,"7,8,A,A",20,0,0,15,17,0,0
K,"7,5",7,5,0,,0,,0,,0,,0,,0,"7,5",21,0,0,12,12,0,0
K,"7,2",7,2,1,10,0,,0,,0,,0,,0,"7,2,10",17,0,0,9,19,0,1
10,"9,Q",9,Q,0,,0,,0,,0,,0,,0,"9,Q",20,0,0,19,19,0,0
2,"3,9",3,9,0,,0,,0,,0,,0,,0,"3,9",25,1,1,12,12,0,1
K,"7,Q",7,Q,0,,0,,0,,0,,0,,0,"7,Q",21,0,0,17,17,0,0
9,"2,9",2,9,1,K,0,,0,,0,,0,,0,"2,9,K",19,0,0,11,21,0,1
J,"2,3",2,3,1,J,0,,0,,0,,0,,0,"2,3,J",20,0,0,5,15,0,0
6,"Q,5",Q,5,0,,0,,0,,0,,0,,0,"Q,5",17,1,0,15,15,0,0
K,"6,4",6,4,1,3,1,2,0,,0,,0,,0,"6,4,3,2",20,0,0,10,15,0,0
K,"J,J",J,J,0,,0,,0,,0,,0,,0,"J,J",22,1,1,20,20,0,1
K,"J,6",J,6,0,,0,,0,,0,,0,,0,"J,6",22,1,1,16,16,0,1
A,"Q,3",Q,3,1,9,0,,0,,0,,0,,0,"Q,3,9",20,0,0,13,22,1,0
A,"5,7",5,7,0,,0,,0,,0,,0,,0,"5,7",17,0,0,12,12,0,0
10,"9,J",9,J,0,,0,,0,,0,,0,,0,"9,J",20,0,0,19,19,0,0
4,"Q,4",Q,4,0,,0,,0,,0,,0,,0,"Q,4",24,1,1,14,14,0,1
Q,"7,9",7,9,1,10,0,,0,,0,,0,,0,"7,9,10",20,0,0,16,26,1,0
9,"3,6",3,6,1,9,0,,0,,0,,0,,0,"3,6,9",17,0,0,9,18,0,1
K,"6,9",6,9,1,5,0,,0,,0,,0,,0,"6,9,5",25,1,1,15,20,0,1
A,"8,K",8,K,0,,0,,0,,0,,0,,0,"8,K",18,0,0,18,18,0,0
J,"J,9",J,9,0,,0,,0,,0,,0,,0,"J,9",19,0,0,19,19,0,0
J,"Q,9",Q,9,0,,0,,0,,0,,0,,0,"Q,9",21,0,0,19,19,0,0
K,"J,K",J,K,0,,0,,0,,0,,0,,0,"J,K",22,1,1,20,20,0,1
8,"3,Q",3,Q,1,10,0,,0,,0,,0,,0,"3,Q,10",16,0,0,13,23,1,0
9,"8,8",8,8,0,,0,,0,,0,,0,,0,"8,8",20,1,0,16,16,0,0
10,"7,8",7,8,1,5,0,,0,,0,,0,,0,"7,8,5",17,0,0,15,20,0,1
2,"A,7",A,7,0,,0,,0,,0,,0,,0,"A,7",22,1,1,18,18,0,1
8,"7,Q",7,Q,0,,0,,0,,0,,0,,0,"7,Q",19,0,0,17,17,0,0
8,"A,9",A,9,0,,0,,0,,0,,0,,0,"A,9",17,1,0,20,20,0,1
8,"9,4",9,4,0,,0,,0,,0,,0,,0,"9,4",19,0,0,13,13,0,0
2,"K,10",K,10,0,,0,,0,,0,,0,,0,"K,10",19,1,0,20,20,0,1
Q,"6,J",6,J,1,J,0,,0,,0,,0,,0,"6,J,J",20,0,0,16,26,1,0
9,"6,4",6,4,1,A,0,,0,,0,,0,,0,"6,4,A",23,1,1,10,21,0,1
10,"7,3",7,3,1,5,0,,0,,0,,0,,0,"7,3,5",26,1,1,10,15,0,1
Q,"K,A",K,A,0,,0,,0,,0,,0,,0,"K,A",16,0,0,21,21,0,1
9,"J,6",J,6,1,9,0,,0,,0,,0,,0,"J,6,9",19,0,0,16,25,1,0
J,"Q,7",Q,7,0,,0,,0,,0,,0,,0,"Q,7",24,1,1,17,17,0,1
10,"Q,K",Q,K,0,,0,,0,,0,,0,,0,"Q,K",19,0,0,20,20,0,1
5,"A,5",A,5,1,3,0,,0,,0,,0,,0,"A,5,3",24,1,1,16,19,0,1
5,"9,9",9,9,0,,0,,0,,0,,0,,0,"9,9",26,1,1,18,18,0,1
A,"8,3",8,3,0,,0,,0,,0,,0,,0,"8,3",21,0,0,11,11,0,0
10,"9,J",9,J,0,,0,,0,,0,,0,,0,"9,J",19,1,0,19,19,0,0
2,"2,4",2,4,1,8,1,A,1,9,0,,0,,0,"2,4,8,A,9",12,0,0,6,24,1,0
A,"2,2",2,2,1,10,0,,0,,0,,0,,0,"2,2,10",18,1,0,4,14,0,0
4,"J,9",J,9,0,,0,,0,,0,,0,,0,"J,9",21,1,0,19,19,0,0
Q,"3,4",3,4,1,2,1,J,0,,0,,0,,0,"3,4,2,J",20,0,0,7,19,0,0
4,"A,4",A,4,1,10,1,6,0,,0,,0,,0,"A,4,10,6",19,1,0,15,21,0,1
K,"5,10",5,10,1,6,0,,0,,0,,0,,0,"5,10,6",22,1,1,15,21,0,1
4,"2,Q",2,Q,1,K,0,,0,,0,,0,,0,"2,Q,K",9,0,0,12,22,1,0
J,"J,J",J,J,0,,0,,0,,0,,0,,0,"J,J",20,0,0,20,20,0,0
A,"7,9",7,9,0,,0,,0,,0,,0,,0,"7,9",21,0,0,16,16,0,0
7,"3,J",3,J,0,,0,,0,,0,,0,,0,"3,J",18,1,0,13,13,0,0
5,"4,3",4,3,1,Q,1,9,0,,0,,0,,0,"4,3,Q,9",8,0,0,7,26,1,0
10,"4,3",4,3,1,A,0,,0,,0,,0,,0,"4,3,A",19,0,0,7,18,0,0
8,"A,K",A,K,0,,0,,0,,0,,0,,0,"A,K",17,0,0,21,21,0,1
4,"5,3",5,3,1,9,1,7,0,,0,,0,,0,"5,3,9,7",15,0,0,8,24,1,0
A,"10,5",10,5,1,K,0,,0,,0,,0,,0,"10,5,K",19,0,0,15,25,1,0
A,"8,5",8,5,0,,0,,0,,0,,0,,0,"8,5",21,0,0,13,13,0,0
8,"5,A",5,A,0,,0,,0,,0,,0,,0,"5,A",17,0,0,16,16,0,0
5,"K,4",K,4,1,Q,0,,0,,0,,0,,0,"K,4,Q",15,0,0,14,24,1,0
9,"9,Q",9,Q,0,,0,,0,,0,,0,,0,"9,Q",19,0,0,19,19,0,0
10,"7,9",7,9,1,2,0,,0,,0,,0,,0,"7,9,2",20,0,0,16,18,0,0
5,"4,4",4,4,1,5,0,,0,,0,,0,,0,"4,4,5",17,1,0,8,13,0,0
K,"6,2",6,2,1,4,1,10,0,,0,,0,,0,"6,2,4,10",17,0,0,8,22,1,0
A,"6,8",6,8,0,,0,,0,,0,,0,,0,"6,8",21,0,0,14,14,0,0
9,"10,7",10,7,0,,0,,0,,0,,0,,0,"10,7",25,1,1,17,17,0,1
5,"2,9",2,9,1,7,1,6,0,,0,,0,,0,"2,9,7,6",15,0,0,11,24,1,0
9,"3,3",3,3,1,3,1,K,0,,0,,0,,0,"3,3,3,K",24,1,1,6,19,0,1
8,"2,Q",2,Q,0,,0,,0,,0,,0,,0,"2,Q",17,1,0,12,12,0,0
2,"9,Q",9,Q,0,,0,,0,,0,,0,,0,"9,Q",17,1,0,19,19,0,1
A,"4,6",4,6,1,8,1,4,0,,0,,0,,0,"4,6,8,4",14,0,0,10,22,1,0
Q,"10,4",10,4,1,8,0,,0,,0,,0,,0,"10,4,8",20,0,0,14,22,1,0
10,"2,K",2,K,0,,0,,0,,0,,0,,0,"2,K",22,1,1,12,12,0,1
Q,"8,7",8,7,0,,0,,0,,0,,0,,0,"8,7",21,1,0,15,15,0,0
K,"5,6",5,6,0,,0,,0,,0,,0,,0,"5,6",21,0,0,11,11,0,0
7,"3,J",3,J,0,,0,,0,,0,,0,,0,"3,J",20,1,0,13,13,0,0
A,"3,10",3,10,1,3,1,6,0,,0,,0,,0,"3,10,3,6",17,0,0,13,22,1,0
9,"Q,9",Q,9,0,,0,,0,,0,,0,,0,"Q,9",25,1,1,19,19,0,1
4,"10,6",10,6,0,,0,,0,,0,,0,,0,"10,6",24,1,1,16,16,0,1
4,"5,8",5,8,0,,0,,0,,0,,0,,0,"5,8",20,1,0,13,13,0,0
2,"9,2",9,2,1,3,0,,0,,0,,0,,0,"9,2,3",26,1,1,11,14,0,1
5,"6,Q",6,Q,0,,0,,0,,0,,0,,0,"6,Q",23,1,1,16,16,0,1
J,"K,7",K,7,0,,0,,0,,0,,0,,0,"K,7",20,0,0,17,17,0,0
10,"4,J",4,J,0,,0,,0,,0,,0,,0,"4,J",20,0,0,14,14,0,0
3,"2,9",2,9,1,Q,0,,0,,0,,0,,0,"2,9,Q",20,1,0,11,21,0,1
6,"4,5",4,5,1,A,0,,0,,0,,0,,0,"4,5,A",19,1,0,9,20,0,1
10,"6,3",6,3,1,4,1,J,0,,0,,0,,0,"6,3,4,J",20,0,0,9,23,1,0
4,"J,8",J,8,0,,0,,0,,0,,0,,0,"J,8",20,1,0,18,18,0,0
5,"5,7",5,7,1,2,0,,0,,0,,0,,0,"5,7,2",20,1,0,12,14,0,0
2,"5,8",5,8,0,,0,,0,,0,,0,,0,"5,8",22,1,1,13,13,0,1
9,"Q,5",Q,5,0,,0,,0,,0,,0,,0,"Q,5",20,0,0,15,15,0,0
J,"5,2",5,2,1,8,1,6,0,,0,,0,,0,"5,2,8,6",20,1,0,7,21,0,1
